population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower,Country Name,Country Code,gdp_per_capita_ppp,log_gdp,predicted,residual
1,All Population,2,DALYs (Disability-Adjusted Life Years),18,Thailand,3,Both,22,All ages,632,Gout,3,Rate,2021,34.47234241214314,49.895130478353366,22.63886277632973,Thailand,THA,20242.7700035656,9.915552971920892,20.819362503138123,13.652979909005019
1,All Population,2,DALYs (Disability-Adjusted Life Years),16,Philippines,3,Both,22,All ages,632,Gout,3,Rate,2021,15.952341100179712,23.01995229677456,10.480357528898455,Philippines,PHL,8857.78995115514,9.089052571304624,14.66626528443058,1.2860758157491325
1,All Population,2,DALYs (Disability-Adjusted Life Years),19,Timor-Leste,3,Both,22,All ages,632,Gout,3,Rate,2021,12.331008436494752,18.05647846947762,8.025052325318285,Timor-Leste,TLS,6825.04588630745,8.82835434329905,12.725429514155081,-0.3944210776603292
1,All Population,2,DALYs (Disability-Adjusted Life Years),11,Indonesia,3,Both,22,All ages,632,Gout,3,Rate,2021,20.391509214349004,29.800483350129923,13.20387581615234,Indonesia,IDN,12757.0746440204,9.453841270741709,17.382029644918035,3.009479569430969
1,All Population,2,DALYs (Disability-Adjusted Life Years),20,Viet Nam,3,Both,22,All ages,632,Gout,3,Rate,2021,19.874778354199695,29.036555331544115,12.97890390360071,Viet Nam,VNM,12048.9019935536,9.396728813900122,16.95684110407342,2.9179372501262755
1,All Population,2,DALYs (Disability-Adjusted Life Years),23,Kiribati,3,Both,22,All ages,632,Gout,3,Rate,2021,14.896644033781634,21.79214596042664,9.69593331334581,Kiribati,KIR,3020.49399935695,8.01317567293784,6.65661986129917,8.240024172482464
1,All Population,2,DALYs (Disability-Adjusted Life Years),10,Cambodia,3,Both,22,All ages,632,Gout,3,Rate,2021,15.083798263765038,21.970153238944377,9.997289506406718,Cambodia,KHM,6225.53265474741,8.736414284699956,12.04095783279584,3.042840430969198
1,All Population,2,DALYs (Disability-Adjusted Life Years),27,Samoa,3,Both,22,All ages,632,Gout,3,Rate,2021,20.292942852059745,29.29895872543169,13.604984447597474,Samoa,WSM,6350.11428353253,8.756228089131483,12.188466853782089,8.104475998277657
1,All Population,2,DALYs (Disability-Adjusted Life Years),14,Maldives,3,Both,22,All ages,632,Gout,3,Rate,2021,20.0478144969416,30.00641762461964,12.844798792127474,Maldives,MDV,19052.6224904311,9.854960034619781,20.36826262018249,-0.3204481232408902
1,All Population,2,DALYs (Disability-Adjusted Life Years),43,Albania,3,Both,22,All ages,632,Gout,3,Rate,2021,18.222472421760088,26.96615263501511,12.24714687705966,Albania,ALB,18212.8702466686,9.809883779557968,20.032680714301037,-1.810208292540949
